elapsed_seconds,time_label,temperature_C
0,0:00,28.5
1,0:01,28.8
2,0:02,28.5
3,0:03,28.3
5,0:05,28.5
6,0:06,28.3
7,0:07,28.3
8,0:08,28.8
9,0:09,28.5
11,0:11,28
12,0:12,28
13,0:13,28.8
14,0:14,28.3
15,0:15,28.8
16,0:16,28.5
17,0:17,28.5
19,0:19,28.3
20,0:20,28.3
21,0:21,28.3
22,0:22,28.5
23,0:23,28.5
24,0:24,28.8
25,0:25,28.3
26,0:26,28.8
27,0:27,28.8
28,0:28,28
30,0:30,28.8
31,0:31,28.8
32,0:32,29.3
33,0:33,29.8
34,0:34,29.8
35,0:35,29.8
36,0:36,30
37,0:37,31.3
38,0:38,31.5
40,0:40,32
41,0:41,33.8
42,0:42,33.8
43,0:43,34.5
44,0:44,34.5
45,0:45,36
46,0:46,36.3
47,0:47,38.3
48,0:48,39
49,0:49,40
51,0:51,41
52,0:52,41.5
53,0:53,43.5
54,0:54,44.8
55,0:55,45.8
56,0:56,47.5
57,0:57,48.8
59,0:59,50
60,1:00,51.3
61,1:01,52.8
62,1:02,54.3
63,1:03,55.5
64,1:04,57
65,1:05,58
67,1:07,60.5
68,1:08,61.8
69,1:09,63
70,1:10,64.5
71,1:11,66.5
72,1:12,68.3
73,1:13,69.5
75,1:15,71.5
76,1:16,72.8
77,1:17,74.8
78,1:18,76.3
79,1:19,77.3
80,1:20,78.8
81,1:21,80.5
82,1:22,83.3
83,1:23,84.8
84,1:24,86.5
86,1:26,88.8
87,1:27,90
88,1:28,92.8
89,1:29,94.8
90,1:30,95.5
91,1:31,97.8
93,1:33,100
94,1:34,102
95,1:35,104.5
96,1:36,106.3
97,1:37,107.5
99,1:39,110.3
100,1:40,111.8
101,1:41,113.5
102,1:42,115.3
103,1:43,116.8
104,1:44,118.5
105,1:45,121
106,1:46,122.5
107,1:47,124.3
109,1:49,127
110,1:50,128.8
111,1:51,130.5
112,1:52,131.5
113,1:53,134.5
114,1:54,136.3
116,1:56,138.8
117,1:57,140.5
118,1:58,142.3
119,1:59,144
120,2:00,146.3
121,2:01,147.5
122,2:02,149.8
123,2:03,151
124,2:04,153
125,2:05,154.5
127,2:07,157
128,2:08,158.5
129,2:09,160
130,2:10,161.8
131,2:11,163.8
132,2:12,165.8
133,2:13,167.8
134,2:14,169.3
136,2:16,171.5
137,2:17,172.8
138,2:18,175.5
139,2:19,176.8
140,2:20,178
141,2:21,179.8
143,2:23,182.5
144,2:24,184.3
145,2:25,185.8
146,2:26,188
147,2:27,189.8
149,2:29,191.8
150,2:30,193.3
151,2:31,195
152,2:32,196.5
153,2:33,198.3
154,2:34,200.8
155,2:35,202
158,2:38,203.3
159,2:39,206
160,2:40,209.3
161,2:41,211
162,2:42,212.8
163,2:43,214.3
165,2:45,216.3
166,2:46,218
167,2:47,219.5
168,2:48,221
169,2:49,222
170,2:50,223.8
171,2:51,224.8
172,2:52,227.5
173,2:53,228.8
174,2:54,230.3
175,2:55,232
176,2:56,233.3
179,2:59,234
180,3:00,238.3
181,3:01,239.5
182,3:02,238.5
184,3:04,240.3
185,3:05,243.3
186,3:06,245.3
187,3:07,246.3
188,3:08,248
189,3:09,249.5
190,3:10,250.8
191,3:11,251.8
192,3:12,251.8
193,3:13,252.8
195,3:15,254.3
196,3:16,255.8
197,3:17,257.3
198,3:18,259.5
199,3:19,261
201,3:21,262.5
202,3:22,264
203,3:23,265
204,3:24,266
205,3:25,267.5
207,3:27,268.8
208,3:28,270
209,3:29,271.3
210,3:30,271.8
211,3:31,274
213,3:33,274.8
214,3:34,277.8
215,3:35,278.8
216,3:36,280.8
217,3:37,282.5
218,3:38,285.8
219,3:39,288
221,3:41,290.8
222,3:42,292.3
223,3:43,295.8
224,3:44,297.5
225,3:45,298.3
226,3:46,300.5
227,3:47,303.3
229,3:49,304.5
230,3:50,305.8
231,3:51,299
232,3:52,301
233,3:53,303.5
234,3:54,307
236,3:56,309.3
237,3:57,312.3
238,3:58,314.3
239,3:59,316
240,4:00,317.8
241,4:01,319.8
242,4:02,321
243,4:03,321.8
244,4:04,321.5
245,4:05,321.8
247,4:07,321
248,4:08,319.5
249,4:09,318.3
250,4:10,318.3
251,4:11,317.8
252,4:12,317.5
253,4:13,318.5
255,4:15,319.5
256,4:16,323.3
257,4:17,326
258,4:18,329
259,4:19,332.5
260,4:20,337.5
261,4:21,340.5
263,4:23,343.3
264,4:24,345.8
265,4:25,347.8
266,4:26,349
267,4:27,349.3
268,4:28,349.3
269,4:29,348.5
270,4:30,346.8
271,4:31,344.5
272,4:32,342.3
274,4:34,341.5
275,4:35,340
276,4:36,340.3
277,4:37,341.3
278,4:38,344
279,4:39,348.3
281,4:41,352.8
282,4:42,359.8
283,4:43,363.5
284,4:44,366.5
285,4:45,368.5
286,4:46,370
287,4:47,369.5
288,4:48,368.8
289,4:49,366.5
291,4:51,364.5
292,4:52,360.8
293,4:53,359
294,4:54,357.8
295,4:55,358
297,4:57,360
298,4:58,360.3
299,4:59,361.3
300,5:00,363.5
301,5:01,367
302,5:02,373.8
303,5:03,378.3
304,5:04,383.3
306,5:06,386.8
307,5:07,389.3
308,5:08,390.3
309,5:09,389.5
310,5:10,387.3
311,5:11,383.3
312,5:12,380.3
