elapsed_seconds,time_label,temperature_C
0,0:00,30.5
1,0:01,30
2,0:02,30
3,0:03,30.3
5,0:05,30.3
6,0:06,30.5
7,0:07,30
8,0:08,30.8
9,0:09,30.3
10,0:10,30.3
11,0:11,30.5
13,0:13,30.3
14,0:14,30.3
15,0:15,30
16,0:16,30.3
17,0:17,30.3
18,0:18,30.5
19,0:19,30.5
21,0:21,30
22,0:22,30
23,0:23,30.3
24,0:24,30.3
25,0:25,30.3
26,0:26,29.8
28,0:28,30
29,0:29,30
30,0:30,29.8
31,0:31,30.3
32,0:32,30.3
33,0:33,30.5
34,0:34,29.8
35,0:35,30
36,0:36,30.3
37,0:37,30.3
38,0:38,30
40,0:40,30.3
41,0:41,30
42,0:42,30.5
43,0:43,30
44,0:44,30.5
45,0:45,30.3
46,0:46,30.5
47,0:47,29.8
48,0:48,30.3
50,0:50,30.3
51,0:51,30.3
52,0:52,30
53,0:53,30.3
54,0:54,30.8
55,0:55,30
56,0:56,30.5
57,0:57,30.3
58,0:58,29.5
59,0:59,30.5
61,1:01,30.5
62,1:02,30.5
63,1:03,29.8
64,1:04,30.8
65,1:05,30.5
67,1:07,30.5
68,1:08,30.3
69,1:09,30.5
70,1:10,30.5
71,1:11,30.3
73,1:13,30.3
74,1:14,30.5
75,1:15,30.3
76,1:16,30.5
77,1:17,30.5
78,1:18,30.8
79,1:19,30.3
80,1:20,30.5
81,1:21,30.5
82,1:22,30.5
83,1:23,30.3
85,1:25,30.5
86,1:26,30.5
87,1:27,30.3
88,1:28,30.3
89,1:29,29.8
90,1:30,30.5
91,1:31,30
92,1:32,30
93,1:33,30.5
94,1:34,30
96,1:36,30.5
97,1:37,30.3
98,1:38,30
99,1:39,30
100,1:40,30.5
101,1:41,30.3
102,1:42,30
103,1:43,30.3
104,1:44,30.3
105,1:45,30
107,1:47,30.5
108,1:48,30.5
109,1:49,30.3
110,1:50,30
111,1:51,30.5
112,1:52,30.5
114,1:54,30
115,1:55,30.3
116,1:56,30.8
117,1:57,30.3
118,1:58,30.5
120,2:00,30
121,2:01,30.5
122,2:02,30.3
123,2:03,30.5
124,2:04,30.3
125,2:05,30.3
126,2:06,30
128,2:08,30.3
129,2:09,30.3
130,2:10,30.3
131,2:11,30
132,2:12,30.3
133,2:13,30.3
134,2:14,30.3
135,2:15,30
137,2:17,30.5
138,2:18,30.5
139,2:19,30.3
140,2:20,30.5
141,2:21,30
142,2:22,30.5
144,2:24,30.3
145,2:25,30.3
146,2:26,30.5
147,2:27,30.5
148,2:28,30.3
149,2:29,30.5
150,2:30,30.3
151,2:31,29.8
153,2:33,30
154,2:34,30.5
155,2:35,30.3
156,2:36,30.5
157,2:37,30.3
158,2:38,30
159,2:39,30.3
160,2:40,30.3
161,2:41,30.3
162,2:42,30.5
164,2:44,30.5
165,2:45,30
166,2:46,30.3
167,2:47,29.8
168,2:48,30.3
169,2:49,30.3
170,2:50,30
171,2:51,30.3
172,2:52,30.5
173,2:53,30.8
174,2:54,30.3
175,2:55,30.5
177,2:57,30.3
178,2:58,30
179,2:59,30.3
180,3:00,29.8
181,3:01,30.5
182,3:02,30
183,3:03,30.3
184,3:04,30.3
185,3:05,30.5
187,3:07,30
188,3:08,30.5
189,3:09,30.5
190,3:10,30.5
191,3:11,29.8
192,3:12,30.3
193,3:13,30.3
194,3:14,30.3
196,3:16,30
197,3:17,30
198,3:18,30.3
199,3:19,30.5
200,3:20,30.5
201,3:21,30.5
202,3:22,30.5
203,3:23,30
205,3:25,30
206,3:26,30.5
207,3:27,30.5
208,3:28,29.8
209,3:29,30.5
210,3:30,30.5
212,3:32,30.5
213,3:33,30.3
214,3:34,30.5
215,3:35,30
216,3:36,30
217,3:37,30.3
218,3:38,30
219,3:39,30.5
221,3:41,30.5
222,3:42,30.5
223,3:43,30.5
224,3:44,30.5
225,3:45,30.5
226,3:46,30.5
227,3:47,30.5
228,3:48,30.5
230,3:50,30.5
231,3:51,30.5
232,3:52,30.3
233,3:53,30.3
234,3:54,30.3
235,3:55,30.3
236,3:56,30.5
238,3:58,30
239,3:59,30.3
240,4:00,30.5
241,4:01,30
242,4:02,30
243,4:03,30.5
244,4:04,30.3
245,4:05,30.3
246,4:06,30.3
248,4:08,30.3
249,4:09,30.5
250,4:10,30.3
251,4:11,30.3
252,4:12,30.5
253,4:13,30
255,4:15,30
256,4:16,30.5
257,4:17,30.5
258,4:18,30.5
259,4:19,30.5
260,4:20,30.3
261,4:21,30.3
262,4:22,30.5
263,4:23,30.3
264,4:24,30.5
265,4:25,30.5
266,4:26,29.8
268,4:28,30.5
269,4:29,30.5
270,4:30,30.5
271,4:31,30.3
272,4:32,30.5
273,4:33,30.3
275,4:35,30
276,4:36,30.3
277,4:37,30
278,4:38,30.3
279,4:39,30.5
280,4:40,30
282,4:42,30
283,4:43,30.5
284,4:44,30.5
285,4:45,30.5
286,4:46,30.5
287,4:47,30.5
288,4:48,30.5
290,4:50,30.5
291,4:51,30.5
292,4:52,30
293,4:53,30.3
294,4:54,30.3
295,4:55,29.8
297,4:57,30.3
298,4:58,30.3
299,4:59,30.5
300,5:00,30.3
301,5:01,30.5
302,5:02,30.5
303,5:03,30.5
305,5:05,29.8
306,5:06,30.3
307,5:07,30
308,5:08,30.5
309,5:09,30.5
